Daniel Johnson - 2021 Adelaide Split Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPLIT,GP,GS,MIN,PTS,REB,AST,GS40,OFF,DEF,STL,BL,TOV,BLA,PF,2P,2P%,3P,3P%,FT,FT%,TS%,P40,R40,A40,EF40,T40,S40,B40,FTA40
Min > 30,34,34,34:11:00,20.1,7.1,2.4,17.2,1.9,5.2,0.3,0.2,2.1,0.7,2.2,5.2-10.2,0.506,1.5-3.9,0.386,5.3-6.1,0.861,0.599,23.6,8.4,2.8,23.2,2.4,0.3,0.2,7.2
SPLIT,GP,GS,MIN,PTS,REB,AST,GS40,OFF,DEF,STL,BL,TOV,BLA,PF,2P,2P%,3P,3P%,FT,FT%,TS%,P40,R40,A40,EF40,T40,S40,B40,FTA40
November,2,2,21:00,19.5,3,2.5,27.4,0.5,2.5,0,0,1,0,2,5.5-10.0,0.55,1.5-2.5,0.6,4.0-4.5,0.889,0.673,37.2,5.7,4.8,34.3,1.9,0,0,8.6
January,7,7,33:23:00,21,6.4,3.3,19,1.6,4.9,0.4,0.4,2.6,1.3,2.7,4.4-8.9,0.5,1.9-4.1,0.448,6.6-7.9,0.836,0.638,25.2,7.7,3.9,25.2,3.1,0.5,0.5,9.4
February,7,7,33:15:00,18,7,2.9,16.4,1.9,5.1,0.4,0.1,1.6,0.3,2,4.9-9.9,0.493,1.1-3.4,0.333,4.9-6.0,0.81,0.565,21.7,8.4,3.4,22.2,1.9,0.5,0.2,7.2
March,7,7,36:38:00,20.7,7.4,2.4,16.2,2,5.4,0.3,0.1,2.3,0.4,2,5.7-11.3,0.506,1.3-3.7,0.346,5.4-6.0,0.905,0.587,22.6,8.1,2.7,22,2.5,0.3,0.2,6.6
April,6,6,33:53:00,22.7,7.5,1.7,19.5,2.3,5.2,0.2,0.2,1.8,0.8,2.2,6.0-11.7,0.514,1.8-4.2,0.44,5.2-5.5,0.939,0.621,26.8,8.9,2,26,2.2,0.2,0.2,6.5
May,9,9,30:48:00,16.2,6.9,1.7,14.8,1.9,5,0.1,0.1,1.8,0.7,1.7,4.0-8.3,0.48,1.4-3.7,0.394,3.9-4.7,0.833,0.577,21.1,8.9,2.2,20.6,2.3,0.1,0.1,6.1
June,1,1,34:56:00,18,13,2,15.1,3,10,0,0,2,0,2,6.0-12.0,0.5,.0-3.0,0,6.0-7.0,0.857,0.498,20.6,14.9,2.3,24,2.3,0,0,8
Monday,3,3,33:02:00,19.7,5.7,2.3,16.5,1.3,4.3,0.3,0.3,1.3,0,3.3,6.3-12.3,0.514,1.3-3.0,0.444,3.0-3.3,0.9,0.585,23.8,6.9,2.8,23,1.6,0.4,0.4,4
Tuesday,4,4,27:31:00,17.3,7.5,2,18.2,2,5.5,0,0,1.8,1.3,1.8,4.3-9.3,0.459,1.5-3.3,0.462,4.3-5.0,0.85,0.587,25.1,10.9,2.9,25.4,2.5,0,0,7.3
Wednesday,3,3,32:13:00,20,6,4.3,19.9,1,5,0.3,0.3,1.3,1.3,1.7,4.3-8.7,0.5,2.7-5.7,0.471,3.3-4.7,0.714,0.61,24.8,7.4,5.4,26.1,1.7,0.4,0.4,5.8
Thursday,3,3,36:10:00,20,8.3,2.7,17.7,2.7,5.7,0.7,0,1,0.3,2.7,4.7-11.3,0.412,1.7-3.0,0.556,5.7-7.0,0.81,0.574,22.1,9.2,2.9,23.6,1.1,0.7,0,7.7
Friday,4,4,30:03:00,19,4.5,2.5,17.7,1.3,3.3,0,0,2.5,1,2,3.5-8.3,0.424,1.8-2.5,0.7,6.8-8.3,0.818,0.661,25.3,6,3.3,22,3.3,0,0,11
Saturday,12,12,34:27:00,21.4,7.8,2.4,18.1,2.2,5.6,0.3,0.3,2.8,0.7,2.1,5.8-10.8,0.538,1.3-3.7,0.364,5.8-6.6,0.873,0.616,24.9,9,2.8,24.7,3.2,0.4,0.3,7.6
