Stephen Curry - 2016 Split Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPLIT,GP,GS,MIN,PTS,REB,AST,GS40,OFF,DEF,STL,BL,TOV,BLA,PF,2P,2P%,3P,3P%,FT,FT%,TS%,P40,R40,A40,EF40,T40,S40,B40,FTA40
Reg Season,85,85,33:24:00,29.4,5.2,6.6,28.8,0.9,4.4,2.1,0.2,3.3,0.6,2.1,5.0-8.6,0.573,5.0-10.9,0.454,4.6-5.1,0.9,0.673,35.1,6.3,7.9,36,3.9,2.5,0.2,6.1
Playoffs,18,17,34:08:00,25,5.5,5.2,20.1,0.8,4.7,1.4,0.3,4.2,0.8,2.2,3.7-7.8,0.475,4.4-10.9,0.408,4.2-4.6,0.916,0.602,29.3,6.4,6.1,26.1,4.9,1.7,0.3,5.4
Min 10-20,5,5,17:47,13.6,2.6,3.8,24.4,0.4,2.2,1.4,0,3,0.2,1.6,2.4-3.4,0.706,2.2-5.0,0.44,2.2-2.4,0.917,0.719,30.6,5.8,8.5,32.4,6.7,3.1,0,5.4
Min 20-30,21,21,27:51:00,26.7,3.8,5.3,32.2,0.7,3,1.9,0.1,2.5,0.3,2.1,4.0-6.0,0.669,5.0-10.2,0.488,3.6-4.1,0.884,0.738,38.4,5.4,7.6,39.5,3.6,2.7,0.2,5.9
Min > 30,77,76,36:06:00,30.1,5.9,6.8,26.3,0.9,5,2,0.2,3.7,0.8,2.1,5.1-9.5,0.534,5.0-11.5,0.436,4.9-5.4,0.906,0.643,33.3,6.5,7.6,33.1,4.1,2.2,0.3,6
SPLIT,GP,GS,MIN,PTS,REB,AST,GS40,OFF,DEF,STL,BL,TOV,BLA,PF,2P,2P%,3P,3P%,FT,FT%,TS%,P40,R40,A40,EF40,T40,S40,B40,FTA40
October,9,9,26:27:00,26.4,3.6,6.4,34.7,0.9,2.7,1.6,0.1,2.6,0.1,2.7,4.6-6.4,0.707,4.1-8.7,0.474,5.0-5.8,0.865,0.749,40,5.4,9.7,42.8,3.9,2.4,0.2,8.7
November,16,16,34:43:00,30.1,5.1,5.8,27.6,0.4,4.6,2.6,0.2,3.9,0.3,1.5,5.0-8.8,0.567,4.8-11.0,0.438,5.7-6.1,0.938,0.67,34.7,5.8,6.6,33.9,4.5,3,0.2,7
December,11,11,35:21:00,28.7,6.6,7.2,26.2,0.9,5.7,1.5,0,3.9,0.7,2.6,5.3-9.1,0.58,4.2-9.4,0.447,5.6-6.7,0.838,0.671,32.5,7.5,8.1,34.1,4.4,1.7,0,7.6
January,16,16,31:44:00,27.2,4.3,6.6,29.1,1,3.3,2.1,0.4,2.6,0.8,1.9,4.1-7.6,0.545,5.1-11.0,0.46,3.8-3.9,0.952,0.67,34.3,5.4,8.3,35.8,3.3,2.7,0.5,5
February,10,10,34:36:00,36.7,5.6,7.3,35.1,1.4,4.2,1.9,0.4,3.6,0.8,1.8,6.2-10.9,0.569,6.7-12.6,0.532,4.2-4.8,0.875,0.716,42.4,6.5,8.4,42.9,4.2,2.2,0.5,5.5
March,16,16,34:37:00,27.6,5.9,6.2,25.5,0.8,5.1,2.4,0.1,2.9,0.9,2.1,5.0-9.0,0.556,4.6-11.3,0.403,3.9-4.4,0.873,0.619,31.8,6.8,7.1,32.3,3.3,2.7,0.1,5.1
April,9,9,31:57:00,27.3,5.2,7,26.9,0.7,4.6,1.9,0.1,4,0.4,1.9,4.2-7.8,0.543,5.2-11.6,0.452,3.2-3.2,1,0.659,34.2,6.5,8.8,34.6,5,2.4,0.1,4
May,9,8,36:40:00,29.1,6.4,6.7,23.9,0.6,5.9,1.8,0,4,0.8,1.6,5.0-9.8,0.511,4.7-11.4,0.408,5.1-5.7,0.902,0.614,31.8,7,7.3,30.4,4.4,1.9,0,6.2
June,7,7,35:07:00,22.6,4.9,3.7,14.9,1.1,3.7,0.9,0.7,4.3,1,3.6,2.6-6.4,0.4,4.6-11.3,0.405,3.7-4.0,0.929,0.58,25.7,5.5,4.2,20,4.9,1,0.8,4.6
Monday,17,16,33:46:00,29.3,6.2,5.6,28.2,1.1,5.1,2.1,0.3,3.1,0.8,2.4,5.4-9.4,0.575,4.9-10.6,0.459,3.8-4.2,0.915,0.669,34.7,7.4,6.7,36,3.6,2.5,0.3,4.9
Tuesday,10,10,34:45:00,26.2,4.4,8.4,23.7,0.7,3.7,2.4,0,3.5,0.6,2.1,5.2-9.9,0.525,4.1-10.9,0.376,3.5-4.2,0.833,0.578,30.2,5.1,9.7,29.6,4,2.8,0,4.8
Wednesday,19,19,33:25:00,29.9,4.7,6.5,29.4,0.9,3.7,1.9,0.4,3.5,0.5,2.1,4.9-8.5,0.58,5.2-10.5,0.49,4.5-4.9,0.915,0.704,35.8,5.6,7.7,36.5,4.2,2.3,0.4,5.9
